a_wl b_wl dcatch_dlai dqcrit dz0v_dh g_area g_grow g_wood lai_max lai_min nl0 nr_nl r_grow rootd_ft sigl tleaf_of tlow tupp
1.26626 3.2311 1.3989 0.062007 0.03215 0.0058092 20.0000 0.013513 17.6071 3.8371 0.038979 1.23957 0.2126 0.8555 0.080858 243.15 2.9853 38.7474 
0.97500 1.7530 0.7103 0.084911 0.01497 0.0061962 20.0000 0.012535 12.7790 5.1728 0.033955 0.72892 0.4632 1.3688 0.186934 243.15 -4.6805 26.0761 
0.50013 2.9541 1.8596 0.075221 0.13134 0.0031035 20.0000 0.006446 9.2066 3.8857 0.045922 1.93399 0.2951 1.6634 0.120717 243.15 -0.4835 28.1388 
0.45859 2.6521 1.0539 0.058071 0.02318 0.0061512 20.0000 0.011500 17.8177 4.9865 0.024411 1.96445 0.3669 1.9124 0.164191 243.15 -20.0085 16.0526 
1.19605 1.8319 0.5145 0.064191 0.03895 0.0078716 20.0000 0.007699 10.1692 5.9338 0.034906 0.93669 0.4660 0.9413 0.090459 243.15 -2.7938 37.1672 
1.20308 2.1560 0.2210 0.084617 0.10039 0.0072667 20.0000 0.005990 8.2750 5.6616 0.034639 1.48485 0.2518 2.4549 0.198575 243.15 -5.4190 23.0733 
0.38429 3.1598 1.7972 0.037927 0.12709 0.0053879 20.0000 0.011040 12.9140 4.1103 0.038556 1.12721 0.3972 2.9702 0.117057 243.15 -24.9545 30.2890 
0.61002 2.1735 1.0727 0.037297 0.10864 0.0050135 20.0000 0.007508 4.5554 5.3929 0.016652 1.35269 0.1716 2.9542 0.188989 243.15 -21.7272 29.9415 
1.22872 3.1043 0.9283 0.057261 0.01664 0.0067789 20.0000 0.015551 15.5576 4.8020 0.034688 0.79088 0.3299 2.8347 0.108986 243.15 -1.2046 22.4157 
0.75697 1.5683 1.4031 0.082913 0.10979 0.0076958 20.0000 0.007904 4.8146 4.8596 0.041781 1.90189 0.2648 0.7783 0.139109 243.15 -9.1399 33.0793 
0.74995 2.7457 1.9256 0.074566 0.10459 0.0075830 20.0000 0.018527 15.1080 5.8074 0.026335 1.21167 0.2881 1.5376 0.077753 243.15 -12.8398 34.5195 
1.06598 2.4043 1.2667 0.067552 0.13328 0.0043600 20.0000 0.016773 4.8807 4.5914 0.043609 1.22067 0.2944 1.0078 0.141434 243.15 -7.4387 39.6275 
0.50871 1.5794 0.0780 0.089994 0.13661 0.0072997 20.0000 0.011799 12.2039 3.7903 0.042814 0.60306 0.1946 2.7272 0.136019 243.15 -15.9971 27.3587 
1.13667 2.7375 1.5900 0.083813 0.05605 0.0067111 20.0000 0.011347 9.7966 3.2844 0.019460 0.90474 0.2549 1.8374 0.138209 243.15 -14.5515 28.5789 
0.69768 1.5036 1.2297 0.033390 0.07411 0.0034581 20.0000 0.019202 8.6355 5.4671 0.017876 1.75728 0.4212 0.7398 0.106571 243.15 -21.8112 31.7567 
0.95394 2.8671 0.9721 0.040021 0.03062 0.0072577 20.0000 0.009799 11.7313 3.2552 0.022701 1.39289 0.1340 1.1216 0.079403 243.15 6.7972 16.8102 
0.36712 2.5140 0.4756 0.076961 0.02403 0.0034767 20.0000 0.011839 10.5500 3.3267 0.024375 0.92604 0.3681 2.7187 0.135614 243.15 -4.4074 17.5553 
0.94604 3.3081 0.9811 0.030426 0.08389 0.0067975 20.0000 0.018161 16.5918 2.5536 0.031417 0.69457 0.4908 1.1528 0.166427 243.15 -20.3935 25.9561 
1.06978 1.4668 1.5274 0.076001 0.03037 0.0046691 20.0000 0.007996 5.3236 1.7822 0.041955 1.01785 0.2260 2.6467 0.109316 243.15 -7.1972 22.8983 
0.79597 2.3768 0.7279 0.073636 0.05746 0.0042520 20.0000 0.010722 9.4023 5.7768 0.049289 1.03570 0.3717 1.0893 0.123447 243.15 -7.8308 36.8622 
0.42846 3.2956 1.3309 0.089160 0.07814 0.0036010 20.0000 0.018567 6.9653 5.7147 0.027137 1.83048 0.4035 0.8925 0.172382 243.15 -11.3206 30.2015 
0.94233 2.2591 1.0783 0.065308 0.10161 0.0070603 20.0000 0.006905 7.3326 2.5113 0.048236 0.77288 0.1314 0.6868 0.177768 243.15 -9.7735 20.0605 
1.14047 2.5586 1.2237 0.080567 0.11070 0.0031245 20.0000 0.013002 9.3132 2.6044 0.032219 1.18767 0.2285 1.3371 0.093114 243.15 -9.8610 21.2256 
0.42290 1.4576 1.3137 0.054890 0.10738 0.0079202 20.0000 0.013354 13.3366 3.7529 0.021193 0.66487 0.2740 2.8142 0.058671 243.15 -24.8950 31.9517 
1.05798 3.1347 0.2638 0.043423 0.04631 0.0062868 20.0000 0.012429 7.4460 2.8290 0.017645 1.71917 0.4923 0.5993 0.075803 243.15 -15.3040 30.8116 
1.00981 1.9155 0.5841 0.050798 0.14129 0.0023558 20.0000 0.013633 10.4095 3.3465 0.031698 0.70282 0.4409 2.7145 0.070087 243.15 -7.7503 28.7639 
1.02229 2.3885 1.7144 0.065134 0.02731 0.0051317 20.0000 0.008203 8.9716 3.4064 0.021404 0.81518 0.4698 1.3168 0.153120 243.15 -2.5488 33.4093 
0.51524 2.8632 0.3690 0.068608 0.03006 0.0024146 20.0000 0.011236 16.2759 4.5671 0.042523 1.56031 0.2373 2.9345 0.052265 243.15 -14.9400 38.3298 
0.68715 2.5211 0.6709 0.044047 0.03256 0.0045761 20.0000 0.008336 15.7979 2.8821 0.023639 1.67042 0.2738 1.1093 0.167342 243.15 -14.0089 37.7973 
1.04862 1.7548 1.5720 0.031482 0.13920 0.0060204 20.0000 0.007762 5.7084 1.7673 0.022134 1.54080 0.3315 0.5860 0.087924 243.15 -20.8381 32.3617 
0.45030 2.4319 1.0867 0.071404 0.03474 0.0075956 20.0000 0.015464 10.0585 3.4338 0.025025 0.65242 0.1670 2.6742 0.184713 243.15 3.4998 33.3793 
1.15247 2.7529 0.7577 0.063693 0.02879 0.0069109 20.0000 0.014329 16.5702 2.7444 0.045153 1.49040 0.2206 2.0659 0.091554 243.15 -8.7199 33.2343 
1.15871 1.7658 0.1468 0.087324 0.12546 0.0063420 20.0000 0.019824 16.9239 2.3762 0.036701 0.57051 0.1931 1.4941 0.107636 243.15 -5.3140 23.2308 
1.27026 2.2661 1.5598 0.081317 0.14415 0.0079964 20.0000 0.009064 16.0504 5.0891 0.021018 1.85224 0.4781 2.8802 0.166052 243.15 0.5841 28.1213 
0.62318 2.3021 1.7306 0.087450 0.02200 0.0040564 20.0000 0.017160 4.6175 3.2745 0.041672 0.64806 0.3810 1.4496 0.149130 243.15 -19.8230 16.2176 
0.34635 3.2374 0.7215 0.072292 0.09230 0.0027267 20.0000 0.005758 17.8893 3.0918 0.033180 1.11851 0.2822 2.3089 0.091689 243.15 -11.9892 33.9319 
1.24920 2.9621 1.8378 0.044347 0.04078 0.0026007 20.0000 0.006731 12.6994 5.5486 0.039830 1.40684 0.3615 1.0063 0.168302 243.15 -17.4322 16.6452 
0.49574 3.2157 1.8470 0.086898 0.13747 0.0050843 20.0000 0.006296 12.3416 1.7538 0.026985 0.86499 0.2853 1.3856 0.054875 243.15 -16.5642 35.7596 
0.95764 1.5516 0.7791 0.088752 0.06748 0.0075284 20.0000 0.009361 11.9433 5.2309 0.035117 1.65152 0.4951 2.3412 0.148290 243.15 -15.6681 36.5047 
0.56010 2.2173 0.4130 0.078551 0.14058 0.0030249 20.0000 0.009230 8.3317 4.5806 0.036144 1.93909 0.4248 0.5210 0.157081 243.15 -18.4543 20.6956 
1.21965 1.4918 1.2405 0.032508 0.11089 0.0024488 20.0000 0.008296 11.5936 2.0531 0.024203 1.32538 0.3094 2.1639 0.118707 243.15 5.1870 18.2403 
0.58818 2.8837 0.4414 0.060303 0.01784 0.0041062 20.0000 0.009950 15.7642 2.8645 0.041111 1.65842 0.4608 0.8063 0.078023 243.15 -3.5534 16.9102 
0.49330 3.2631 0.6469 0.064071 0.03117 0.0033459 20.0000 0.005387 17.4410 3.9635 0.048678 0.68152 0.1974 2.4649 0.162481 243.15 1.1196 19.9630 
1.28567 2.7680 0.4926 0.075041 0.12813 0.0033615 20.0000 0.008486 15.8587 4.8438 0.026589 0.94599 0.3084 1.8451 0.076178 243.15 -5.7026 22.7183 
1.25651 2.3630 0.3002 0.081611 0.05697 0.0022820 20.0000 0.019511 5.3681 5.3141 0.044886 0.77708 0.3519 2.0219 0.114026 243.15 -11.7862 15.3800 
0.78817 1.5060 1.2851 0.053060 0.13034 0.0033807 20.0000 0.008885 17.7205 5.7345 0.045226 1.79673 0.4473 2.0862 0.183318 243.15 -13.7779 21.4631 
0.82405 2.3153 1.5618 0.052016 0.07917 0.0046451 20.0000 0.008623 10.4257 3.4163 0.041183 1.26643 0.3945 1.6929 0.126538 243.15 -1.8137 22.1032 
0.77852 3.1443 0.1226 0.053288 0.10315 0.0048557 20.0000 0.019356 12.5549 4.5122 0.035774 1.13576 0.1430 0.5488 0.104200 243.15 -1.9047 29.1664 
0.33231 2.5122 1.7864 0.042175 0.05251 0.0066373 20.0000 0.018686 16.3879 5.2741 0.038497 0.79868 0.2560 2.6555 0.163006 243.15 -2.6538 27.3662 
0.43285 1.8526 0.7929 0.080279 0.09864 0.0029145 20.0000 0.007132 9.9167 3.6373 0.044586 0.92004 0.3985 2.7295 0.185794 243.15 2.2747 33.7844 
0.79987 2.4487 0.8973 0.040165 0.13408 0.0053039 20.0000 0.006542 10.7457 5.1913 0.040784 1.99985 0.4844 2.4057 0.183798 243.15 -3.9419 38.8724 
1.25797 1.7881 0.4006 0.052172 0.12189 0.0070411 20.0000 0.005896 4.7741 2.4298 0.044345 1.74482 0.4026 2.5542 0.111866 243.15 6.5977 17.8328 
0.69437 2.0031 1.0981 0.031806 0.10444 0.0031725 20.0000 0.016400 16.3218 5.4986 0.018870 1.87879 0.2619 1.1911 0.120207 243.15 -15.0170 15.7351 
1.03224 2.6075 1.5886 0.064365 0.09052 0.0038428 20.0000 0.019440 10.5851 4.2516 0.029031 1.54275 0.3897 2.8325 0.153645 243.15 -20.7506 39.3224 
0.47438 2.3851 0.2964 0.044167 0.09566 0.0026535 20.0000 0.011154 4.5135 4.9464 0.023556 1.81983 0.2069 2.9727 0.158506 243.15 7.1542 27.9688 
1.05525 2.9681 0.5503 0.070768 0.06298 0.0043294 20.0000 0.015806 12.6724 4.9505 0.035688 0.64311 0.4580 2.8487 0.074647 243.15 -23.6069 19.1804 
1.11649 3.0202 1.0679 0.032148 0.09268 0.0054707 20.0000 0.012765 10.2907 1.6035 0.044777 0.81113 0.1363 1.7184 0.148710 243.15 -12.6788 15.9401 
0.98465 1.9197 0.8229 0.039241 0.01962 0.0025431 20.0000 0.012687 14.0522 4.4779 0.039734 1.23222 0.4043 2.1407 0.072997 243.15 -4.8345 21.3806 
0.56907 2.7365 0.2682 0.060891 0.04255 0.0060540 20.0000 0.006815 13.6769 4.7187 0.037711 1.86574 0.3645 0.5630 0.149280 243.15 -8.8319 15.9826 
